player,Team,Format,matches,Innings,runs,wickets,average,bowling_average,bowling_strike_rate,economy,batting_position,5 wkts,image_url,role,strike_rate,100s,50s
Shaheen Shah Afridi,Pakistan,T20,94,94,302,122,14.38,21.54,16.7,7.71,9,0,"",fats-bowler
Shaheen Shah Afridi,Pakistan,Odi,67,66,276,132,13.80,24.51,26.0,5.65,9,3,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_50/lsci/db/PICTURES/CMS/406800/406865.jpg",fats-bowler,,,
Kuldeep Yadav,India,Odi,113,110,207.0,181,9.85,26.44,31.7,4.99,8,2,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_50/lsci/db/PICTURES/CMS/407600/407672.jpg",left-arm-wrist-spin,,,
Will O'Rourkee,NewZeland,Odi,17,17,,6,22.0,,38.3,5.67,11,0,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_50/lsci/db/PICTURES/CMS/397800/397825.jpg",fast-bowler,,,
Jasprit Bumrah,India,Test,50,95,341,226,6.55,19.83,42.7,2.78,10,15,"",fast-bowler
Jasprit Bumrah,India,T20,79,77,8,99,2,18.11,17.0,6.36,10,0,"",fast-bowler
Jasprit Bumrah,India,Odi,89,88,91.0,149,7.58,23.55,30.7,4.59,10,2,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1280,q_80/lsci/db/PICTURES/CMS/407100/407112.jpg",fast-bowler,,,
Parsidh Krishna,India,Test,6,11,10,22,2.0,34.36,43.6,4.72,11,0,"",fast-bowler	
Parsidh Krishna,India,T20,5,5,0,8,27.50,0,15.0,11.0,11,0,"",fast-bowler
Parsidh Krishna,India,Odi,18,18,2,30,1.0,26.46,27.8,5.69,11,0,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_50/lsci/db/PICTURES/CMS/404600/404670.jpg",fast-bowler,,,
Varun Chakravarthy,India,T20,28,27,2,45,1.00,15.68,13.6,6.88,11,2,"",spinner
Varun Chakravarthy,India,Odi,4,4,0.0,10,0.0,19.0,24.0,4.75,11,1,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_50/lsci/db/PICTURES/CMS/406900/406919.jpg",right-arm-myystery-spinner,,,
Abrar Ahmed,Pakistan,Test,10,19,68,46,8.50,34.34,57.1,3.60,11,2,"",spinner
Abrar Ahmed,Pakistan,T20,25,24,4,31,4.00,19.29,17.0,6.76,11,0,"",spinner
Abrar Ahmed,Pakistan,Odi,12,12,28,21,14.00,24.47,31.7,4.63,11,0,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_50/lsci/db/PICTURES/CMS/405700/405784.jpg",spinner,,,
Tanzim hassan Shakib,Bangladesh,Test,1,1,41,1,41.0,49.00,60.0,4.9,9,0,"",fast-bowler	
Tanzim Hassan Shakib,Bangladesh,T20,38,37,190,44,13.57,25.09,18.2,8.24,9,0,"",fast-bowler
Tanzim hassan Shakib,Bangladesh,Odi,15,15,151.0,24,18.87,27.29,28.4,5.75,11,0,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_50/lsci/db/PICTURES/CMS/399900/399956.jpg",fast-bowler,,,
Dushmantha Chameera,Srilanka,Odi,56,55,289.0,63,12.04,34.25,37.6,5.46,9,1,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_50/lsci/db/PICTURES/CMS/403300/403388.jpg",fast-bowler,,,
Mateesha Pathirana,Srilanka,Odi,12,12,11.0,17,2.2,36.23,29.8,7.27,11,0,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1280,q_80/lsci/db/PICTURES/CMS/385400/385453.jpg",fast-bowler,,,
Josh Little,Ireland,Odi,42,40,81.0,61,8.1,34.34,33.1,6.21,10,1,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1280,q_80/lsci/db/PICTURES/CMS/365700/365760.jpg",fast-bowler,,,
Tod Astle,NewZeland,Odi,9,8,79.0,10,26.33,24.6,27.0,5.46,10,0,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_50/lsci/db/PICTURES/CMS/299800/299803.jpg",leg-spinner,,,
Rashid Khan,Afghanistan,Test,6,11,154,45,17.11,20.44,41.4,2.96,8,5,"",leg-spinner
Rashid Khan,Afghanistan,T20,108,108,1393,182,19.08,13.69,13.5,6.07,8,2,"",leg-spinner
Rashid Khan,Afghanistan,Odi,117,109,1393.0,210,19.08,19.65,28.0,4.2,8,6,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_50/lsci/db/PICTURES/CMS/407400/407476.jpg",leg-spineer,,,
Haris Rauf,Pakistan,Odi,50,50,105.0,88,8.07,27.09,27.7,5.06,10,2,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_50/lsci/db/PICTURES/CMS/406800/406866.jpg",fast-bowler,,,
Muhammad shami,India,Odi,108,107,205.0,206,7.75,24.05,25.8,5.58,10,6,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1280,q_80/lsci/db/PICTURES/CMS/397300/397372.jpg",fast-bowler,,,
Pat Cummins,Australia,Test,71,132,1548,309,16.82,22.10,45.9,2.88,9,14,"",fast-bowler
Pat Cummins,Australia,T20,57,57,158,66,10.53,23.57,19.0,7.44,10,0,"",fast-bowler
Pat Cummins,Australia,Odi,90,90,537.0,143,14.21,28.78,32.7,5.27,9,1,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_50/lsci/db/PICTURES/CMS/401900/401998.jpg",fast-bowler,,,
Blessing Muzzarabani,Zimbabwe,Odi,57,55,134.0,70,5.15,33.35,38.8,5.15,10,1,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_50/lsci/db/PICTURES/CMS/399700/399704.jpg",fast-bowler,,,
Mujeeb ur Rehman,Afghanistan,T20,58,58,81,76,11.57,18.26,16.9,6.46,10,1,"",right-arm-mystery-spinner
Mujeeb ur Rehman,Afghanistan,Odi,75,74,236.0,101,9.07,28.34,39.2,4.32,10,1,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_50/lsci/db/PICTURES/CMS/373800/373830.jpg",right-arm-mystery-spinner,,,
Kehshav Mahraj,South Africa,Odi,54,53,294.0,72,12.78,29.97,38.4,4.68,9,1,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_50/lsci/db/PICTURES/CMS/408100/408150.jpg",left-arm-spinner,,,
Adam Milne,NewZeland,Odi,50,48,180.0,57,12.85,35.56,39.3,5.42,10,0,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_50/lsci/db/PICTURES/CMS/373900/373980.jpg",fast-bowler,,,
Adil Rashid,England,T20,134,127,155,145,7.38,23.93,19.1,7.48,8,0,"",leg-spinner
Adil Rashid,England,Odi,156,150,961.0,233,16.85,31.55,33.5,5.64,10,2,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1280,q_80/lsci/db/PICTURES/CMS/396400/396465.jpg",leg-spinner,,,
Ben Dawrshius,Australia,T20,12,12,50,20,7.14,21.50,14.1,9.14,10,0,"",fast-bowler
Ben Dawrshius,Australia,Odi,6,6,45.0,11,7.5,24.54,26.7,5.51,10,0,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_wide_w_1280,q_70/lsci/db/PICTURES/CMS/407000/407052.6.jpg",fast-bowler,,,
Kyle Jamieson,NewZeland,T20,21,21,63,20,12.60,35.50,22.8,9.32,10,0,"",fast-bowler
Kyle Jamieson,NewZeland,Test,19,36,432,80,19.63,19.73,44.4,2.66,9,5,"",fast-bowler
Kyle Jamieson,NewZeland,Odi,17,16,92.0,17,23.0,39.47,45.7,5.17,11,0,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_50/lsci/db/PICTURES/CMS/407100/407106.png",fast-bowler,,,
Jamie Overton,England,Odi,8,7,7.0,120,18.28,30.0,32.0,5.62,8,0,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_50/lsci/db/PICTURES/CMS/405800/405855.jpg",fast-bowler,,,
Brydon Carse,England,Odi,28,27,225.0,33,17.3,38.54,36.3,6.37,9,1,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_50/lsci/db/PICTURES/CMS/408100/408113.jpg",fast-bowler,,,
Luke Wood,England,Odi,3,2,15.0,1,15.0,113.0,108.0,6.27,11,0,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_50/lsci/db/PICTURES/CMS/401800/401828.jpg",fast-bowler,,,
Zakary Foulkes,NewZeland,T20,17,16,60,18,15.00,26.27,18.1,8.67,8,0,"",fast-bowler
Zakary Foulkes,NewZeland,Test,1,2,0,9,0,8.33,3.00,16.6,10,1,"",fast-bowler
Zakary Foulkes,NewZeland,Odi,4,3,14,7,0,14.42,17.1,5.05,10,0,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_50/lsci/db/PICTURES/CMS/404800/404831.jpg",fast-bowler
Nathan Smith,NewZeland,Test,3,5,10,102,25.50,35.90,42.8,5.03,9,0,"",fast-bowler
Nathan Smith,NewZeland,Odi,11,11,41,12,6.83,39.66,34.5,6.88,11,0,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_50/lsci/db/PICTURES/CMS/397100/397110.jpg",fast-bowler
Jacob Duffy,NewZeland,T20,36,34,24,49,6.00,17.53,14.2,7.36,11,0,"",fast-bowler
Jacob Duffy,NewZeland,Test,1,2,36,2,36.00,26.00,51.5,3.02,10,0,"",fast-bowler
Jacob Duffy,NewZeland,Odi,15,15,12,29,12.00,24.20,23.1,6.28,9,0,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_50/lsci/db/PICTURES/CMS/399800/399858.jpg",fast-bowler
Mitchell Santner,NewZeland,T20,120,117,848,129,18.43,22.94,19.3,7.11,8,0,"",left-arm-spinner
Mitchell Santner,NewZeland,Odi,119,113,1465,26.16,127,35.64,44.4,4.80,7,2,"",left-arm-spinner
Mitchell Santner,NewZeland,Test,32,54,1025,78,25.83,33.37,71.1,2.81,9,2,"",left-arm-off-spinner	
Haris Rauf,Pakistan,Test,1,1,12,1,6.00,78.00,78.0,6.00,10,0,"",fast-bowler
Haris Rauf,Pakistan,Odi,50,50,88,105,8.07,27.09,27.7,5.86,10,2,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_50/lsci/db/PICTURES/CMS/406800/406894.jpg",fast-bowler
Haris Rauf,Pakistan,T20,94,92,133,143,8.41,21.10,15.1,8.38,10,0,"",fast-bowler
Naseem Shah,Pakistan,Test,20,33,144,60,7.57,35.13,56.8,3.70,9,1,"",fast-bowler
Naseem Shah,Pakistan,Odi,31,30,218,58,21.80,24.18,26.6,5.44,10,2,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_50/lsci/db/PICTURES/CMS/397100/397123.jpg",fast-bowler
Naseem Shah,Pakistan,T20,32,31,60,28,7.60,33.17,24.6,8.06,10,0,"",fast-bowler
Muhammad Wasim jr,Pakistan,Test,2,4,55,2,18.33,115.50,179.0,3.87,9,0,"",fast-bowler
Muhammad Wasim jr,Pakistan,Odi,22,22,36,81,9.00,27.25,29.7,5.50,9,0,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_50/lsci/db/PICTURES/CMS/370300/370342.jpg",fast-bowler
Muhammad Wasim jr,Pakistan,T20,29,29,46,36,11.50,20.86,15.3,8.14,9,0,"",fast-bowler
