player,Team,Format,matches,Innings,NO,runs,wickets,average,bowling_average,strike_rate,HS,100s,50s,batting_position,image_url,role,economy,total_balls_faced,total_overs_bowled,total_runs_conceded,total_fours,total_sixes,total_catches
Corbin Bosch,South Africa,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Kehshav Mahraj,South Africa,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
George Linde,South Africa,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Kwena Maphaka,South Africa,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Aiden Makram,South Africa,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Tristan Stubbs,South Africa,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Jason Smith,South Africa,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Dewald Brevis,South Africa,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
David Millar,South Africa,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Ryan Rickelton,South Africa,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Marco Jansen,South Africa,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Kagiso Rabada,South Africa,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Lungi Nigdi,South Africa,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Anrich Nortje,South Africa,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Muhammad Waseem,UAE,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Mayank Kumar,UAE,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Muhammad Zohaib,UAE,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Alishan Sharafu,UAE,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Aryansh Sharma,UAE,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Shoaib Khan,UAE,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Muhammad Farooq,UAE,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Harshit Kaushik,UAE,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Haider Ali,UAE,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Junaid Siddique,UAE,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Muhammad Arfan,UAE,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Muhammad Jawwadullah,UAE,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Muhammad Rohid,UAE,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Simranjeet Sing,UAE,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Colin Ackermann,Netherlands,T20,1,1,0,20,0,20.0,0.0,142.86,20,0,0,0,0.0,0.0,0.0,14,0.0,0,4,0,0
